ChicagoBulls,Chicago
AtlantaHawks,Atlanta
DetroitPistons,Detroit
LAClippers,LA
LALakers,LA
HoustonRockets,Houston
SanAntonioSpurs,San Antonio
DallasMavericks,Dallas
MemphisGrizzlies,Memphis
PortlandTrailBlazers,Portland
SeattleSupersonics,Seattle
GoldenStateWarriors,Oakland
NewYorkKnicks,New York
NewYorkNets,New York
ClevelandCavaliers,Cleveland
BostonCeltics,Boston
Philadelphia76ers,Philadelphia
